Property Code,Unit Code,Last Updated,Office%,WH Lights,Office Lights,Elect. Panel,Sensors,Lights replaced by FP?,In unit meter,Submeter,Elec. Power VOLTS,Elec. Power AMPS,Elec. Connection,WH Heating,WH Conditioned ,WH Tonnage,Office Conditioned,Office Tonnage,HVAC Panel,Hazard usage,Hazard Materials ,Hazard Notes,# Drive ins ,# Dock Doord
"xtx1050k",10529   ,"2024-04-17 00:00:00",25.44,"Fluorescent","Fluorescent","No","No","No","Yes","N/A","120/240",225,"Single","Gas Heaters","No",0,"Yes",11,"Yes","No","","",0,0
"xtx1050k",10537   ,"2024-04-17 00:00:00",20.23,"Fluorescent","Fluorescent","No","No","No","Yes","No","120/240",225,"Single","Gas Heaters","No",0,"Yes",7.5,"Yes","No","","",0,0
"xtx1050k",11523   ,"2024-10-07 00:00:00",18.31,"Fluorescent","Fluorescent","No","No","No","Yes","No","120/240",225,"3 Phase","Gas Heaters","No",0,"Yes",10,"Yes","No",,,,
"xga3471a",3471    ,"2024-04-15 00:00:00",15.62,"Fluorescent","Fluorescent","Yes","No","No","Yes","No","277/480",1800,"3 Phase","Gas Heaters","No",0,"Yes",36.5,"No","No","","",0,0
"xtx1721s",1721    ,"2024-04-15 00:00:00",5.93,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"Yes","N/A","","",0,0
"xtx11839",100     ,"2024-04-17 00:00:00",6.1,"LED","Fluorescent","Yes","Yes","No","Yes","N/A","120/208",800,"3 Phase","None","No",0,"Yes",30,"Yes","No","","",0,0
"xtx11839",11839   ,"2024-10-07 00:00:00",6.21,"LED","Fluorescent","Yes","Yes","No","Yes","No","120/208",800,"3 Phase","None","No",0,"Yes",30,"Yes","No",,,,
"xil1200p",1200    ,"2024-04-17 00:00:00",6,"Fluorescent","Fluorescent","No","No","No","Yes","N/A","120/208",400,"3 Phase","Gas Heaters","No",0,"Yes",0,"No","No","","",0,0
"3fl00002",1       ,"2024-04-17 00:00:00",18,"Fluorescent","Fluorescent","No","No","Yes","N/A","N/A","",0,"N/A","Other","Yes",0,"Yes",0,"N/A","N/A","","",0,0
"3fl00002","PARK    ","2024-10-08 00:00:00",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,"N/A","N/A","N/A",0,"N/A",0,"N/A","N/A",,,0,0
"xtx4666d",4666    ,"2024-04-17 00:00:00",3.03,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","N/A","","",0,0
"xga1610s",1610    ,"2024-04-15 00:00:00",7,"Fluorescent","Fluorescent","No","No","No","Yes","N/A","277/480",400,"3 Phase","Gas Heaters","No",0,"Yes",6,"No","No","","",0,0
