Property Code,Property Address,City,Property State,ZIP,Is Land?,Fund,Legal Entity,ACQ Status,Acq. Date,Dispo. Date
"njrun721","721 E Clements Bridge Road","Runnemede","NJ",08078,"Yes                                                                             ","FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2020-12-10 00:00:00","06/22/2022 00:00:00"
"njwes103","103-05 West Park Drive","Mount Laurel","NJ",08054,,"FRG IX                                                                          ","FP Gimel NJ LP                                                                  ","Sold                                                                            ","2021-03-02 00:00:00","06/22/2022 00:00:00"
"oh575006","575 Quality Blvd","Fairfield","OH",45014,,"FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","2020-03-23 00:00:00","06/22/2022 00:00:00"
"ohclo007","4064 Clough Woods Drive","Batavia","OH",45103,,"FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","2020-05-23 00:00:00","06/22/2022 00:00:00"
"ohcom008","10052 Commerce Park Drive","West Chester","OH",45246,,"FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","2020-06-01 00:00:00","06/22/2022 00:00:00"
"ohfai003","7042-7068 Fairfield Business Center Dr","Fairfield","OH",45014,,"FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","2019-11-11 00:00:00","11/01/2022 00:00:00"
"ohhon001","7100 Dixie Hwy","Fairfield","OH",45014,,"FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","2019-07-01 00:00:00","06/22/2022 00:00:00"
"ohkem002","1310-1330 Kemper Meadow Drive","Cincinnati","OH",45240,,"FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","2019-11-11 00:00:00","06/22/2022 00:00:00"
"ohles005","9290 LeSaint Dr.","West Chester","OH",45014,,"FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","2020-03-02 00:00:00","06/22/2022 00:00:00"
"ohwar004","420 Wards Corner Rd","Loveland","OH",45140,,"FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","2019-12-12 00:00:00","06/22/2022 00:00:00"
"ohwar005","422 Wards Corner","Loveland","OH",45140,,"FRG IX                                                                          ","FP-Gimel OH LP                                                                  ","Sold                                                                            ","2019-12-12 00:00:00","06/22/2022 00:00:00"
"pabor001","165 Boro Line Road ","King of Prussia","PA",19406,,"FRG IX                                                                          ","FP Gimel-PA LP                                                                  ","Sold                                                                            ","2020-09-02 00:00:00","06/22/2022 00:00:00"
"padun003","7746 Dungan Road","Philadelphia","PA",19111,,"FRG IX                                                                          ","FP Gimel-PA LP                                                                  ","Sold                                                                            ","2021-06-03 00:00:00","06/22/2022 00:00:00"
"pajam002","70 James Way","Southampton","PA",18966,,"FRG IX                                                                          ","FP Gimel-PA LP                                                                  ","Sold                                                                            ","2021-03-11 00:00:00","06/22/2022 00:00:00"
"tn10b017","10 East Belz Boulevard  ","Memphis","TN",38109,,"FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","2020-05-08 00:00:00","06/22/2022 00:00:00"
"tnamz015","3347 Pearson Road","Memphis","TN",38118,,"FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","2019-08-30 00:00:00","06/22/2022 00:00:00"
"tnb03013","237-265 East Belz (3)","Memphis","TN",38109,,"FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","2019-08-30 00:00:00","06/22/2022 00:00:00"
"tnb09014","307-317 East Belz (9)","Memphis","TN",38109,,"FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","2019-08-15 00:00:00","06/22/2022 00:00:00"
"tnb10010","1887 Latham (10)","Memphis","TN",38106,,"FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","2019-08-15 00:00:00","06/22/2022 00:00:00"
"tnb11012","2000 Latham Street","Memphis","TN",38016,,"FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","2019-08-15 00:00:00","06/22/2022 00:00:00"
"tnb12011","1950-1980 Latham (12)","Memphis","TN",38106,,"FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","2019-08-15 00:00:00","06/22/2022 00:00:00"
"tndan007","761 Danny Thomas","Memphis","TN",38126,,"FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","2019-05-29 00:00:00","06/22/2022 00:00:00"
"tnlak008","2900 Lakeview Dr","Memphis","TN","",,"FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","2019-08-30 00:00:00","06/22/2022 00:00:00"
"tnmet016","8045 Metro Rd","Memphis","TN","",,"FRG IX                                                                          ","FPIP TN REALTY HOLDINGS LLC                                                     ","Sold                                                                            ","2020-01-02 00:00:00","06/22/2022 00:00:00"
"tnnew18 ","4050 New Getwell Road","Memphis","TN",38118,,"FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","2020-11-05 00:00:00","06/22/2022 00:00:00"
"tntri10 ","4400 Delp Street","Memphis","TN",38118,,"FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","2020-06-30 00:00:00","06/22/2022 00:00:00"
"tntri11 ","3970-4000 Senator Street","Memphis","TN","",,"FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","2020-06-30 00:00:00","06/22/2022 00:00:00"
"tntri16 ","3976 New Getwell","Memphis","TN",38118,,"FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","2020-06-30 00:00:00","06/22/2022 00:00:00"
"tntri18 ","3983 Senator Street","Memphis","TN","",,"FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","2020-06-30 00:00:00","06/22/2022 00:00:00"
"tntri19 ","3977-4045 Raines Road","Memphis","TN","",,"FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","2020-06-30 00:00:00","06/22/2022 00:00:00"
"tntri2  ","4148 Delp Street","Memphis","TN","",,"FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","2020-06-30 00:00:00","06/22/2022 00:00:00"
"tntri4  ","4280-4290 Concorde Road","Memphis","TN",38118,,"FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","2020-06-30 00:00:00","06/22/2022 00:00:00"
"tntri7  ","","Memphis","TN","",,"FRG IX                                                                          ",,"Sold                                                                            ","2020-06-30 00:00:00","07/31/2020 00:00:00"
"tntri8  ","","Memphis","TN","",,"FRG IX                                                                          ",,"Sold                                                                            ","2020-06-30 00:00:00","07/31/2020 00:00:00"
"tntri9  ","4056 Homewood Road","Memphis","TN","",,"FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","2020-06-30 00:00:00","06/22/2022 00:00:00"
"tntrid2 ","3901-3921 Delp Street","Memphis","TN","",,"FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","2020-06-30 00:00:00","06/22/2022 00:00:00"
"tntrid8 ","4486-4524 Delp Street","Memphis","TN","",,"FRG IX                                                                          ","FP-TRI L.P                                                                      ","Sold                                                                            ","2020-06-30 00:00:00","06/22/2022 00:00:00"
"tnw13006","5070 E Raines Rd","Memphis","TN","",,"FRG IX                                                                          ","FPIP- Memphis LP                                                                ","Sold                                                                            ","2019-03-15 00:00:00","06/22/2022 00:00:00"
"tnwl1002","5300 E Raines Rd","Memphis","TN","",,"FRG IX                                                                          ","FPIP- Memphis LP                                                                ","Sold                                                                            ","2019-03-15 00:00:00","06/22/2022 00:00:00"
"tnwl3009","4070 Willow Lake","Memphis","TN",38118,,"FRG IX                                                                          ","FP-Gimel TN LP                                                                  ","Sold                                                                            ","2019-08-30 00:00:00","06/22/2022 00:00:00"
"tnwl4003","4002 Willow Lake Blvd","Memphis","TN","",,"FRG IX                                                                          ","FPIP- Memphis LP                                                                ","Sold                                                                            ","2019-03-15 00:00:00","06/22/2022 00:00:00"
"tnwl5004","3960 Willow Lake Blvd","Memphis","TN","",,"FRG IX                                                                          ","FPIP- Memphis LP                                                                ","Sold                                                                            ","2019-03-15 00:00:00","06/22/2022 00:00:00"
"tnwl7005","5146 E Raines Rd","Memphis","TN","",,"FRG IX                                                                          ","FPIP- Memphis LP                                                                ","Sold                                                                            ","2019-03-15 00:00:00","06/22/2022 00:00:00"
"tnwl9001","4135 Willow Lake Blvd","Memphis","TN","",,"FRG IX                                                                          ",,"Sold                                                                            ","2019-03-25 00:00:00","08/29/2019 00:00:00"
"tx4se001","6810-6838 Bourgeois Rd.","Houston","TX",77066,,"FRG IX                                                                          ","FPIP-TX1 LP                                                                     ","Sold                                                                            ","2018-09-21 00:00:00","06/22/2022 00:00:00"
"txflo007","3700 Flory Street","North Richland Hills","TX",76180,,"FRG IX                                                                          ","FP-Gimel TX LP                                                                  ","Sold                                                                            ","2020-09-23 00:00:00","06/22/2022 00:00:00"
"txhou002","10111 Houston Oaks","Houston","TX",77064,,"FRG IX                                                                          ","FPIP-TX1 LP                                                                     ","Sold                                                                            ","2018-12-14 00:00:00","06/22/2022 00:00:00"
"txlan003","6410 Langfield  Bldg. X","Houston","TX",77092,,"FRG IX                                                                          ","FPIP-TX1 LP                                                                     ","Sold                                                                            ","2018-12-08 00:00:00","06/22/2022 00:00:00"
"txmai006","11533 S. Main St","Houston","TX",77025,,"FRG IX                                                                          ","FP-Gimel TX LP                                                                  ","Sold                                                                            ","2020-07-30 00:00:00","06/22/2022 00:00:00"
"txmil005","5101-5151 Milwee St.","Houston","TX",77092,,"FRG IX                                                                          ","FP-Gimel TX LP                                                                  ","Sold                                                                            ","2019-09-06 00:00:00","06/22/2022 00:00:00"
"txstr009","626 106th Street","Arlington","TX",76011,,"FRG IX                                                                          ","FP-Gimel TX LP                                                                  ","Sold                                                                            ","2020-10-15 00:00:00","06/22/2022 00:00:00"
"txvic008","14000 Vickery Drive","Houston","TX",77032,,"FRG IX                                                                          ","FP-Gimel TX LP                                                                  ","Sold                                                                            ","2020-10-20 00:00:00","06/22/2022 00:00:00"
"txwin004","11300 Windfern Rd","Houston","TX",77064,,"FRG IX                                                                          ","FPIP-TX1 LP                                                                     ","Sold                                                                            ","2019-01-15 00:00:00","06/22/2022 00:00:00"
"xfl11660","11660 Central Parkway ","Jacksonville  ","FL",32224 ,,"FRG X                                                                           ","FRG-X-AP-FL LP                                                                  ","Acquired                                                                        ","2021-12-30 00:00:00",
"xfl420sw","420 S. Ware Boulevard ","Tampa","FL",33619,,"FRG X                                                                           ","FRG-X-FL2 LP                                                                    ","Acquired                                                                        ","2022-03-10 00:00:00",
"xfl6704n","6704 N 54th St","Tampa","FL",33610,,"FRG X                                                                           ","FRG-X-FL2 LP                                                                    ","Acquired                                                                        ","2024-11-22 00:00:00",
"xfl7720p","7720 Philips Highway","Jacksonville","FL",32256,,"FRG X                                                                           ","FRG-X-FL2 LP                                                                    ","Acquired                                                                        ","2022-02-28 00:00:00",
"xflstuar","6959 Stuart Avenue","Jacksonville","FL",32254,,"FRG X                                                                           ","FRG-X-FL1 LP                                                                    ","Acquired                                                                        ","2021-04-01 00:00:00",
"xga1145b","1145 Battlecreek Road","Jonesboro","GA",30236,,"FRG X                                                                           ","FRG-X-GA2 LP                                                                    ","Acquired                                                                        ","2022-08-24 00:00:00",
"xga1157 ","1157 Battlecreek Road","Jonesboro","GA",30236,,"FRG X                                                                           ","FRG-X-AP-GA LP                                                                  ","Acquired                                                                        ","2021-10-12 00:00:00",
