customer_id,tenant_id,tenant_name,property_address,property_name,property_code,fund,naics,lease_id,credit_score,credit_score_date,parent_customer_id,tenant_risk,amendment_start_date,amendment_type,amendment_status
,t0000793,,"nan Bensenville, IL 60106.0",201 James Street,xil201ja,2,,228227,,,,,,Renewal,Activated
,t0000804,,"nan Bensenville, IL 60106.0",231 James Street,xil231ja,2,,265424,,,,,,Expansion,Activated
,t0000818,,"nan Dallas, TX 75228.0",11839 Shiloh Rd,xtx11839,2,,257046,,,,,,Renewal,Activated
,t0000824,,"nan Dallas, TX 75220.0",10501 King William Drive,xtx1050k,2,,265381,,,,,,Expansion,Activated
,t0000845,,"nan Florence, NJ 8016.0",70 Cathy Lane,xnj70cat,2,,346039,,,,,,Original Lease,Activated
,t0000846,,"nan Dallas, TX 75236.0",4666 Duncanville Road,xtx4666d,2,,327867,,,,,,Renewal,Activated
,t0000850,,"nan Mahwah, NJ 7430.0",19 Industrial Avenue,xnj19ind,2,,265464,,,,,,Termination,Activated
,t0000864,,"nan Mahwah, NJ 7430.0",19 Industrial Avenue,xnj19ind,2,,262499,,,,,,Expansion,Activated
,t0000881,,"nan Bensenville, IL 60106.0",222 James Street,xil222ja,2,,205891,,,,,,Renewal,Activated
,t0000882,,"nan Bensalem, PA 19020.0",3041 Marwin Road,xpa3041m,2,,265383,,,,,,Expansion,Activated
,t0000921,,"nan Des Plaines, IL 60018.0",1701 Birchwood,xil1701b,2,,270802,,,,,,Renewal,Activated
,t0000925,,"nan Elk Grove Village, IL 60007.0",1100-1150 Howard,xil1100h,2,,316642,,,,,,Renewal,Activated
,t0000950,,"nan Bensenville, IL 60106.0",201 James Street,xil201ja,2,,265453,,,,,,Renewal,Activated
,t0000952,,"nan Jonesboro, GA 30236.0",1145 Battlecreek Road,xga1145b,2,,215692,,,,,,Renewal,Activated
,t0000959,,"nan Mount Laurel, NJ 8054.0",3001 Irwin Road,xnj3001i,2,,265421,,,,,,Renewal,Activated
,t0000967,,"nan Memphis, TN 38118.0",4290 Delp Street,xtndelp1,2,,265411,,,,,,Original Lease,Activated
,t0000991,,"nan Oakland, NJ 7436.0",128 Bauer Drive,xnj128ba,2,,265456,,,,,,Original Lease,Activated
,t0001007,,"nan Whippany, NJ 7981.0",30 Leslie Court,xnj30les,2,,265433,,,,,,Original Lease,Activated
,t0001012,,"nan Atlanta, GA 30336.0",4450 Commerce Circle,xga4450c,2,,265447,,,,,,Original Lease,Activated
,t0001073,,"nan Columbus, OH 43219.0",3040 – 3050 E 14th Avenue,xohcolu3,2,,187489,,,,,,Proposal in DM,Activated
,t0001197,,"nan Elk Grove Village, IL 60007.0",2101 Arthur Avenue,xil2101,2,,228176,,,,,,Original Lease,Activated
,t0001339,,"nan Tampa, FL 33619.0",420 S. Ware Boulevard,xfl420sw,2,,273540,,,,,,Original Lease,Activated
,t0001340,,"nan Atlanta, GA 30319.0",4507 Mills Place,xga4507m,2,,193722,,,,,,Proposal in DM,Activated
,t0001359,,"nan Elk Grove Village, IL 60007.0",1100-1150 Howard,xil1100h,2,,280572,,,,,,Original Lease,Activated
,t0001382,,"nan Tampa, FL 33610.0",6704 N 54th St,xfl6704n,2,,369683,,,,,,Renewal,Activated
,t0001385,,"nan Tampa, FL 33610.0",6704 N 54th St,xfl6704n,2,,314022,,,,,,Termination,Activated
,t0001397,,"nan Elk Grove Village, IL 60007.0",770 Arthur Avenue,xil770ar,2,,295114,,,,,,Original Lease,Activated
,t0001417,,"nan Bensenville, IL 60106.0",231 James Street,xil231ja,2,,303704,,,,,,Original Lease,Activated
,t0001418,,"nan Bensenville, IL 60106.0",201 James Street,xil201ja,2,,303705,,,,,,Original Lease,Activated
,t0001428,,"nan Royersford, PA 19468.0",18 Railroad Street,xpa18rai,2,,307577,,,,,,Original Lease,Activated
,t0001448,,"nan Bensenville, IL 60106.0",201 James Street,xil201ja,2,,315907,,,,,,Original Lease,Activated
,t0001454,,"nan Mt. Prospect, IL 60056.0",900 East Business Center Drive,xil900b,2,,316641,,,,,,Original Lease,Activated
,t0001501,,"nan Jacksonville, FL 32256.0",7720 Philips Highway,xfl7720p,2,,313095,,,,,,Original Lease,Activated
,t0001516,,"nan Elk Grove Village, IL 60007.0",770 Arthur Avenue,xil770ar,2,,341326,,,,,,Original Lease,Activated
