amendment_hmy,property_code,tenant_id,amendment_status,amendment_sf,category,priority
115862,gasto009,t0000185,Activated,10050,RENT_EXPECTED,CRITICAL
115863,ohwar004,t0000588,Activated,12500,RENT_EXPECTED,CRITICAL
115864,ohwar005,t0000589,Activated,10650,RENT_EXPECTED,CRITICAL
115865,ohkem002,t0000393,Activated,13605,RENT_EXPECTED,CRITICAL
115866,gacom33,t0000411,Activated,14082,RENT_EXPECTED,CRITICAL
115906,tnpop107,t0000319,Activated,2077,RENT_EXPECTED,CRITICAL
115907,tnpop107,t0000320,Activated,4202,RENT_EXPECTED,CRITICAL
115908,tnpop107,t0000333,Activated,767,RENT_EXPECTED,CRITICAL
115909,tnpop107,t0000334,Activated,2539,RENT_EXPECTED,CRITICAL
115910,tnpop107,t0000336,Activated,864,RENT_EXPECTED,CRITICAL
115911,tnpop107,t0000337,Activated,1409,RENT_EXPECTED,CRITICAL
115912,tnpop107,t0000326,Activated,639,RENT_EXPECTED,CRITICAL
115913,tnpop107,t0000328,Activated,2494,RENT_EXPECTED,CRITICAL
115914,tnpop107,t0000307,Activated,4762,RENT_EXPECTED,CRITICAL
115915,tncha104,t0000099,Activated,2851,RENT_EXPECTED,CRITICAL
115916,tncha104,t0000106,Activated,3135,RENT_EXPECTED,CRITICAL
115917,tncha104,t0000112,Activated,0,TERMINATION_OK,OK
115918,tncha104,t0000114,Activated,2086,RENT_EXPECTED,CRITICAL
115919,tncha104,t0000115,Activated,10689,RENT_EXPECTED,CRITICAL
115920,tncha104,t0000120,Activated,2694,RENT_EXPECTED,CRITICAL
115921,tncha104,t0000121,Activated,2604,RENT_EXPECTED,CRITICAL
115922,tncha104,t0000123,Activated,2973,RENT_EXPECTED,CRITICAL
115923,tncha104,t0000128,Activated,6047,RENT_EXPECTED,CRITICAL
115924,tncha104,t0000129,Activated,4020,RENT_EXPECTED,CRITICAL
115925,tncha104,t0000139,Activated,24301,RENT_EXPECTED,CRITICAL
115926,tnorl102,t0000147,Activated,800,RENT_EXPECTED,CRITICAL
115927,tnorl102,t0000148,Activated,3850,RENT_EXPECTED,CRITICAL
115928,tnorl102,t0000149,Activated,1700,RENT_EXPECTED,CRITICAL
115929,tnorl102,t0000151,Activated,2490,RENT_EXPECTED,CRITICAL
115930,tnorl102,t0000152,Activated,985,RENT_EXPECTED,CRITICAL
115931,tnorl102,t0000153,Activated,2818,RENT_EXPECTED,CRITICAL
115932,tnorl102,t0000190,Activated,1580,RENT_EXPECTED,CRITICAL
115933,tnorl102,t0000191,Activated,1400,RENT_EXPECTED,CRITICAL
115934,tnorl102,t0000193,Activated,2650,RENT_EXPECTED,CRITICAL
115935,tnorl102,t0000194,Activated,2200,RENT_EXPECTED,CRITICAL
115936,tnorl102,t0000154,Activated,2059,RENT_EXPECTED,CRITICAL
115937,gaga1104,t0000248,Activated,25000,RENT_EXPECTED,CRITICAL
115938,gaga1104,t0000249,Activated,8000,RENT_EXPECTED,CRITICAL
115939,gaga1104,t0000250,Activated,5000,RENT_EXPECTED,CRITICAL
115940,gaga1104,t0000251,Activated,10000,RENT_EXPECTED,CRITICAL
115941,gaga1104,t0000253,Activated,10000,RENT_EXPECTED,CRITICAL
115942,gaga1104,t0000254,Activated,62500,RENT_EXPECTED,CRITICAL
115943,gaga1104,t0000255,Activated,12000,RENT_EXPECTED,CRITICAL
115944,gaga1104,t0000352,Activated,25000,RENT_EXPECTED,CRITICAL
115945,gaga1104,t0000680,Activated,10500,RENT_EXPECTED,CRITICAL
115946,gaga1104,t0000252,Activated,12000,RENT_EXPECTED,CRITICAL
115947,gaga1104,t0000256,Activated,4000,RENT_EXPECTED,CRITICAL
115948,ohfai003,t0000021,Activated,4811,RENT_EXPECTED,CRITICAL
116344,xtx1121,t0000757,Activated,15780,RENT_EXPECTED,CRITICAL
116345,xtx2616a,t0000710,Activated,8060,RENT_EXPECTED,CRITICAL
116352,3tn00014,t0001281,Superseded,211650,HISTORICAL_RENT,HIGH
116359,3ca00001,t0001434,Superseded,12607,HISTORICAL_RENT,HIGH
116362,xga4600f,t0000685,Superseded,12530,HISTORICAL_RENT,HIGH
116365,xtn225bo,t0001006,Activated,33340,RENT_EXPECTED,CRITICAL
116366,xil770ar,t0000649,Activated,41455,RENT_EXPECTED,CRITICAL
116382,xil770ar,t0000718,Superseded,21741,HISTORICAL_RENT,HIGH
116387,3tx00011,t0001462,Superseded,22876,HISTORICAL_RENT,HIGH
40232,3tx00002,t0000945,Activated,4320,RENT_EXPECTED,CRITICAL
38203,3il00002,t0000914,Activated,9000,RENT_EXPECTED,CRITICAL
115984,xfl3333c,t0001015,Activated,39000,RENT_EXPECTED,CRITICAL
115985,xga3100j,t0000867,Activated,40500,RENT_EXPECTED,CRITICAL
115986,xil1601,t0000520,Activated,35791,RENT_EXPECTED,CRITICAL
115987,xil1601,t0000521,Activated,27809,RENT_EXPECTED,CRITICAL
115988,xgadors,t0000584,Activated,12234,RENT_EXPECTED,CRITICAL
115989,xgadors,t0000585,Activated,12098,RENT_EXPECTED,CRITICAL
115990,xgadors,t0000583,Activated,20500,RENT_EXPECTED,CRITICAL
115991,xgadors,t0000590,Activated,10979,RENT_EXPECTED,CRITICAL
115992,xgadors,t0000586,Activated,76625,RENT_EXPECTED,CRITICAL
116004,3nj00012,t0001386,Superseded,9500,HISTORICAL_RENT,HIGH
116005,3tx00009,t0000972,Activated,40000,RENT_EXPECTED,CRITICAL
116006,3tx00009,t0000973,Activated,11360,RENT_EXPECTED,CRITICAL
116007,3tn00009,t0001278,Activated,68500,RENT_EXPECTED,CRITICAL
116008,3tn00009,t0001279,Activated,26500,RENT_EXPECTED,CRITICAL
116009,3tn00008,t0001280,Activated,6970,RENT_EXPECTED,CRITICAL
116010,3tn00008,t0001289,Activated,9960,RENT_EXPECTED,CRITICAL
116011,3tn00008,t0001302,Activated,10400,RENT_EXPECTED,CRITICAL
116012,3tn00008,t0001304,Activated,8250,RENT_EXPECTED,CRITICAL
116013,3tn00008,t0001306,Activated,7400,RENT_EXPECTED,CRITICAL
116014,3tn00008,t0001307,Activated,15984,RENT_EXPECTED,CRITICAL
116015,3tn00008,t0001316,Activated,14190,RENT_EXPECTED,CRITICAL
116041,3md00001,t0001443,Superseded,11158,HISTORICAL_RENT,HIGH
116055,3ga00001,t0001341,Superseded,8052,HISTORICAL_RENT,HIGH
119143,xnj1601s,t0000659,Activated,13869,RENT_EXPECTED,CRITICAL
119144,xnj390n,t0000578,Activated,56600,RENT_EXPECTED,CRITICAL
119145,xnj19nev,t0000628,Activated,50591,RENT_EXPECTED,CRITICAL
119146,3tx00014,t0001207,Activated,11789,RENT_EXPECTED,CRITICAL
119150,xfl7720p,t0001501,Superseded,52467,HISTORICAL_RENT,HIGH
37936,xpa3041m,t0000878,Activated,8000,RENT_EXPECTED,CRITICAL
37937,xpa3041m,t0000883,Activated,9640,RENT_EXPECTED,CRITICAL
119195,xil770ar,t0001516,Superseded,41455,HISTORICAL_RENT,HIGH
119198,3tn00001,t0001518,Superseded,12000,HISTORICAL_RENT,HIGH
119213,xnj440be,t0000658,Activated,0,REVIEW_REQUIRED,MEDIUM
47181,3tn00003,t0001087,Superseded,22500,HISTORICAL_RENT,HIGH
