unit id,property id,unit name,unit type,excluded unit,floor id,floor code,floor level int,level,elevator,building id,building code,building name,database id
338,941,1228,Office,0,,,0,,,,,,1
340,941,1110,Office,0,,,0,,,,,,1
341,941,1200,Office,0,,,0,,,,,,1
342,941,1120,Office,0,,,0,,,,,,1
343,941,606,Office,0,,,0,,,,,,1
344,941,607,Office,0,,,0,,,,,,1
345,941,825-835,Office,0,,,0,,,,,,1
465,1361,B,,0,,,0,,,,,,1
466,1361,C,,0,,,0,,,,,,1
467,913,800,,0,8,8,0,,Yes,,,,1
468,941,605,Office,0,,,0,,,,,,1
469,1365,C,,0,,,0,,,,,,1
473,1365,E,,0,,,0,,,,,,1
474,1365,F,,0,,,0,,,,,,1
476,1365,G,,0,,,0,,,,,,1
477,1365,I,,0,,,0,,,,,,1
478,1365,H,,0,,,0,,,,,,1
479,1365,L,,0,,,0,,,,,,1
480,1365,D,,0,,,0,,,,,,1
483,1365,J-K,,0,,,0,,,,,,1
484,904,D,,0,,,0,,,,,,1
485,1375,A,,0,,,0,,,,,,1
486,1375,B,,0,,,0,,,,,,1
487,1375,C,,0,,,0,,,,,,1
488,1375,E,,0,,,0,,,,,,1
489,1375,F,,0,,,0,,,,,,1
490,1375,D,,0,,,0,,,,,,1
491,1375,G,,0,,,0,,,,,,1
492,1376,4350,,0,,,0,,,,,,1
493,1377,6105,,0,,,0,,,,,,1
494,1372,4319,,1,,,0,,,,,,1
495,1372,4290,,0,,,0,,,,,,1
496,1372,4310,,0,,,0,,,,,,1
497,1372,4354,,0,,,0,,,,,,1
498,1385,5682,,0,,,0,,,,,,1
503,1383,A,,0,,,0,,,,,,1
504,1383,B,,0,,,0,,,,,,1
505,1383,C,,0,,,0,,,,,,1
506,1383,D,,0,,,0,,,,,,1
507,1383,MEZZ,,1,,,0,,,,,,1
508,1378,7903,,0,,,0,,,,,,1
509,1390,9615,,0,,,0,,,,,,1
524,1392,201,,0,,,0,,,,,,1
525,1391,196,,0,,,0,,,,,,1
526,1393,210,,0,,,0,,,,,,1
527,1394,224,,0,,,0,,,,,,1
528,1395,246,,0,,,0,,,,,,1
529,1396,252,,0,,,0,,,,,,1
530,1397,2980,,0,,,0,,,,,,1
531,1398,3000,,0,,,0,,,,,,1
532,1388,100,,0,,,0,,,,,,1
533,1388,200,,0,,,0,,,,,,1
534,1388,300,,0,,,0,,,,,,1
535,1388,400,,0,,,0,,,,,,1
536,1387,A,,0,,,0,,,,,,1
537,1387,B,,0,,,0,,,,,,1
538,1387,C,,0,,,0,,,,,,1
539,1387,E,,0,,,0,,,,,,1
540,1389,6000,,0,,,0,,,,,,1
541,1372,4318,,0,,,0,,,,,,1
554,917,930BEASE,,0,,,0,,,,,,1
555,1372,4319B,,1,,,0,,,,,,1
556,1379,6959,,0,,,0,,,,,,1
560,1379,6959STU,,1,,,0,,,,,,1
235,890,6818,,0,,,0,,,103,6818,6818 Bourgeois Rd,1
236,890,6820,,0,,,0,,,104,6820,6820 Bourgeois Rd,1
237,890,6824,,0,,,0,,,105,6824,6824 Bourgeois Rd,1
238,890,6826,,0,,,0,,,106,6826,6826 Bourgeois Rd,1
239,890,6830,,0,,,0,,,107,6830,6830 Bourgeois Rd,1
240,890,6832,,0,,,0,,,108,6832,6832 Bourgeois Rd,1
241,890,6834,,0,,,0,,,109,6834,6834 Bourgeois Rd,1
242,890,6838,,0,,,0,,,111,6838,6838 Bourgeois Rd,1
243,890,6836,,0,,,0,,,110,6836,6836 Bourgeois Rd,1
244,939,2000,Office,0,,,0,,,,,,1
245,939,2050,Office,0,,,0,,,,,,1
246,939,2400,Office,0,,,0,,,,,,1
247,939,2350,Office,0,,,0,,,,,,1
248,939,2300,Office,0,,,0,,,,,,1
249,939,2100,Office,0,,,0,,,,,,1
250,939,B100,Office,0,,,0,,,,,,1
253,939,3400,Office,0,,,0,,,,,,1
254,939,1100,Office,0,,,0,,,,,,1
255,939,1200,Office,0,,,0,,,,,,1
257,937,1789-11,Office,0,,,0,,,,,,1
258,937,1779-04,Office,0,,,0,,,,,,1
259,937,1779-03,Office,0,,,0,,,,,,1
260,937,1789-2A,Office,0,,,0,,,,,,1
261,937,1789-10,Office,0,,,0,,,,,,1
262,937,1779-1A,Office,0,,,0,,,,,,1
263,937,1789-08,Office,0,,,0,,,,,,1
264,937,1789-02,Office,0,,,0,,,,,,1
266,904,A,,0,,,0,,,,,,1
268,904,B,,0,,,0,,,,,,1
269,904,C,,0,,,0,,,,,,1
271,904,E,,0,,,0,,,,,,1
272,904,F,,0,,,0,,,,,,1
1421,1580,626,,0,,,0,,,,,,1
1430,1582,7903,,0,,,0,,,,,,1
1446,1595,100,,0,,,0,,,,,,1
1447,1594,200,,0,,,0,,,,,,1
1448,1593,300,,0,,,0,,,,,,1
1449,1592,899,,0,,,0,,,,,,1
1450,1591,922,,0,,,0,,,,,,1
1451,1590,986,,0,,,0,,,,,,1
1462,1459,A,,0,,,0,,,,,,1
1469,1459,B,,0,,,0,,,,,,1
4248,1628,4732,,0,,,0,,,,,,1
4281,1527,A,,0,,,0,,,,,,1
4282,1527,B,,0,,,0,,,,,,1
4283,1527,C,,0,,,0,,,,,,1
4284,1527,D,,0,,,0,,,,,,1
4285,1527,E,,0,,,0,,,,,,1
4286,1527,F,,0,,,0,,,,,,1
4287,1527,G,,0,,,0,,,,,,1
4304,1888,100,,0,,,0,,,,,,1
4309,2779,A,,0,,,0,,,,,,1
4310,2779,B,,0,,,0,,,,,,1
4325,2784,2100,,0,,,0,,,,,,1
4327,2781,G-H,,0,,,0,,,,,,1
4328,2781,I,,0,,,0,,,,,,1
4329,2781,WARHSE,,0,,,0,,,,,,1
4330,2783,5121,,0,,,0,,,,,,1
4331,2782,4680,,0,,,0,,,,,,1
1537,1610,4732,,0,,,0,,,,,,1
1538,1599,14,,0,,,0,,,,,,1
1539,1584,A,,0,,,0,,,,,,1
1544,1584,B,,0,,,0,,,,,,1
1545,1584,C,,0,,,0,,,,,,1
1546,1585,A,,0,,,0,,,,,,1
1547,1585,B,,0,,,0,,,,,,1
1548,1585,C,,0,,,0,,,,,,1
1549,1585,ANT-A,,0,,,0,,,,,,1
1551,1585,ANT-B,,0,,,0,,,,,,1
1580,1586,A,,0,,,0,,,,,,1
1581,1586,B,,0,,,0,,,,,,1
1582,1587,A,,0,,,0,,,,,,1
1583,1587,A1,,0,,,0,,,,,,1
1584,1587,B,,0,,,0,,,,,,1
3277,1733,5070-W,,0,,,0,,,,,,1
3278,1735,108,,0,,,0,,,,,,1
3324,1741,A,Industrial,0,,,0,,,,,,1
3325,1741,A.,Industrial,0,,,0,,,,,,1
3326,1741,C,Industrial,0,,,0,,,,,,1
3327,1741,D,Industrial,0,,,0,,,,,,1
3328,1754,100,,0,,,0,,,114,bldg 100,2009 Dorsey Road,1
3332,1754,500,,0,,,0,,,118,bldg 500,2009 Dorsey Road,1
3334,1754,600,,0,,,0,,,120,bldg 600,2009 Dorsey Road,1
3335,1754,750,,0,,,0,,,121,bldg 700,2009 Dorsey Road,1
3336,1754,710,,0,,,0,,,121,bldg 700,2009 Dorsey Road,1
2057,1568,100,Industrial,0,,,0,,,,,,1
2058,1568,200,Industrial,0,,,0,,,,,,1
2059,1568,250,Industrial,0,,,0,,,,,,1
2060,1566,100,Industrial,0,,,0,,,,,,1
2061,1566,200,Industrial,0,,,0,,,,,,1
2064,1552,100,,0,,,0,,,,,,1
2068,1559,100,Industrial,0,,,0,,,,,,1
2069,1567,100,Industrial,0,,,0,,,,,,1
2086,1564,100,Industrial,0,,,0,,,,,,1
2087,1564,200,Industrial,0,,,0,,,,,,1
2088,1557,100,Industrial,0,,,0,,,,,,1
2089,1553,100,Industrial,0,,,0,,,,,,1
2090,1560,100,Industrial,0,,,0,,,,,,1
2111,1562,100,Industrial,0,,,0,,,,,,1
2115,1558,100,Industrial,0,,,0,,,,,,1
2116,1558,200,,0,,,0,,,,,,1
2159,1563,100,Industrial,0,,,0,,,,,,1
2160,1563,200,Industrial,0,,,0,,,,,,1
2161,1563,300,Industrial,0,,,0,,,,,,1
2248,1387,D,,0,,,0,,,,,,1
2249,1389,A,,1,,,0,,,,,,1
2298,1547,100,Industrial,0,,,0,,,,,,1
2299,1547,200,Industrial,0,,,0,,,,,,1
2300,1547,300,Industrial,0,,,0,,,,,,1
2301,1547,301,Industrial,0,,,0,,,,,,1
2302,1547,302,Industrial,0,,,0,,,,,,1
2303,1547,400,Industrial,0,,,0,,,,,,1
2305,1545,100,Industrial,0,,,0,,,,,,1
2308,1561,100,Industrial,0,,,0,,,,,,1
2309,1561,200,,0,,,0,,,,,,1
2326,1546,100,,0,,,0,,,,,,1
2327,1546,200,,0,,,0,,,,,,1
2328,1546,300,,0,,,0,,,,,,1
2329,1546,400,,0,,,0,,,,,,1
2330,1546,500,,0,,,0,,,,,,1
2331,1546,600,,0,,,0,,,,,,1
2332,1546,700,,0,,,0,,,,,,1
2333,1546,800,,0,,,0,,,,,,1
2337,1549,100,Industrial,0,,,0,,,,,,1
2338,1549,200,Industrial,0,,,0,,,,,,1
2339,1549,300,Industrial,0,,,0,,,,,,1
2340,1548,100,Industrial,0,,,0,,,,,,1
2341,1548,200,Industrial,0,,,0,,,,,,1
2342,1548,300,Industrial,0,,,0,,,,,,1
2343,1548,400,Industrial,0,,,0,,,,,,1
2344,1548,500,Industrial,0,,,0,,,,,,1
2345,1548,600,Industrial,0,,,0,,,,,,1
2350,1551,100,Industrial,0,,,0,,,,,,1
2351,1551,200,Industrial,0,,,0,,,,,,1
2352,1551,300,Industrial,0,,,0,,,,,,1
2353,1551,400,Industrial,0,,,0,,,,,,1
2354,1551,500,Industrial,0,,,0,,,,,,1
2355,1551,600,Industrial,0,,,0,,,,,,1
2356,1555,100,Industrial,0,,,0,,,,,,1
2361,1565,100,Industrial,0,,,0,,,,,,1
2362,1565,200,Industrial,0,,,0,,,,,,1
2367,1570,100,Industrial,0,,,0,,,,,,1
2368,1570,200,Industrial,0,,,0,,,,,,1
2369,1556,100,Industrial,0,,,0,,,,,,1
2370,1556,200,Industrial,0,,,0,,,,,,1
2379,1554,100,Industrial,0,,,0,,,,,,1
2380,1569,100,Industrial,0,,,0,,,,,,1
2381,1569,200,Industrial,0,,,0,,,,,,1
2382,1569,300,Industrial,0,,,0,,,,,,1
2389,1583,10052-GL,Industrial,0,,,0,,,,,,1
2390,1583,10052-MZ,Office,0,,,0,,,,,,1
1321,1576,7100-GL,,0,,,0,,,,,,1
1322,1576,7100-MEZ,Industrial,0,,,0,,,,,,1
8391,1848,14B,,0,,,0,,,,,,1
8392,1784,108,,0,,,0,,,,,,1
8393,1779,1010,,0,,,0,,,,,,1
8394,1849,10,,0,,,0,,,,,,1
8408,1778,52,,0,,,0,,,,,,1
8423,1771,6965,,0,,,0,,,,,,1
8425,1775,313,,0,,,0,,,,,,1
8438,3253,740,,0,,,0,,,,,,1
8444,1773,900,,0,,,0,,,,,,1
8446,1777,7055-1,,0,,,0,,,151,building 1,,1
8447,1777,7055-2,,0,,,0,,,152,building 2,,1
8450,1781,1211,,0,,,0,,,,,,1
8451,1774,A,,0,,,0,,,,,,1
8452,1774,B,,0,,,0,,,,,,1
8457,1782,327,,0,,,0,,,,,,1
8459,1776,8800,,0,,,0,,,,,,1
3502,1734,B-C,,0,,,0,,,,,,1
3503,1734,200,,0,,,0,,,,,,1
1116,1503,100,,0,27,1,0,,Yes,,,,1
1117,1503,1000,,0,36,10,0,,Yes,,,,1
1118,1503,102,,0,27,1,0,,Yes,,,,1
1119,1503,104,,0,27,1,0,,Yes,,,,1
1120,1503,110,,0,27,1,0,,Yes,,,,1
1121,1503,1100,,0,37,11,0,,Yes,,,,1
1122,1503,120,,0,27,1,0,,Yes,,,,1
1123,1503,1200,,0,38,12,0,,Yes,,,,1
1124,1503,1240,,0,38,12,0,,Yes,,,,1
1125,1503,1290,,0,38,12,0,,Yes,,,,1
1126,1503,180,,0,27,1,0,,Yes,,,,1
1127,1503,190,,0,27,1,0,,Yes,,,,1
1128,1503,200,,0,28,2,0,,Yes,,,,1
1129,1503,220,,0,28,2,0,,Yes,,,,1
1130,1503,240,,0,28,2,0,,Yes,,,,1
1131,1503,260,,0,28,2,0,,Yes,,,,1
1132,1503,290,,0,28,2,0,,Yes,,,,1
1133,1503,300,,0,29,3,0,,Yes,,,,1
1134,1503,320,,0,29,3,0,,Yes,,,,1
1135,1503,330,,0,29,3,0,,Yes,,,,1
