property id,property code,is active,postal address,postal city,postal state,postal zip code,postal country,property name,acquire date,dispose date,inactive date,is commercial,is international,property last closed period,database id
7821,3fl00024,TRUE,,Boca Raton,FL,33487,US,6500 Park of Commerce Boulevard,,,,TRUE,FALSE,6/1/25,1
7843,3fl00025,TRUE,,Boynton Beach,FL,33426,US,4935 Park Ridge Blvd,,,,TRUE,FALSE,6/1/25,1
7837,3fl00026,TRUE,,Tampa,FL,33610,US,4531 Oak Fair Blvd.,,,,TRUE,FALSE,6/1/25,1
7825,3fl00027,TRUE,,Orlando,FL,32822,US,6901 TPC Drive,,,,TRUE,FALSE,6/1/25,1
7866,3fl00028,TRUE,,Orlando,FL,32822,US,6435 Hazeltine National Drive,,,,TRUE,FALSE,6/1/25,1
7809,3fl00029,TRUE,,Jacksonville,FL,32256,US,10475 Fortune Parkway,,,,TRUE,FALSE,6/1/25,1
7830,3fl00030,TRUE,,Tamarac,FL,33321,US,6200-6320 North Hiatus Road,,,,TRUE,FALSE,6/1/25,1
7822,3fl00031,TRUE,,Port Saint Lucie,FL,34986,US,645-651 Enterprise Drive,,,,TRUE,FALSE,6/1/25,1
6982,3fla0018,TRUE,,Jacksonville,FL,32226,US,Alta Lake Commerce Center,,,,FALSE,FALSE,6/1/25,1
7006,3fld1,TRUE,,,,,United States,FIVF-III-FLD1 LP,,,,FALSE,FALSE,6/1/25,1
6652,3fpdgjow,TRUE,,,,,United States,FP-DG Joyce Kilmer Owner LP,,,,FALSE,FALSE,6/1/25,1
6660,3fpdgjpa,TRUE,,,,,United States,DIG New Brunswick JV LLC,,,,FALSE,FALSE,6/1/25,1
6651,3fpdgjve,TRUE,,,,,United States,FP-DG Joyce Kilmer Venture LP,,,,FALSE,FALSE,6/1/25,1
7008,3fphpflo,TRUE,,,,,United States,FP-Hazel Park 295 Owner LP,,,,FALSE,FALSE,6/1/25,1
7007,3fphpflp,TRUE,,,,,United States,"HSI PARK 295 GP, LLC",,,,FALSE,FALSE,6/1/25,1
