record hmy,amendment hmy,tenant hmy,tenant code,property hmy,property code,unit hmy,unit name,dtleasefrom,dtleaseto,hoption,hproposal,binactive,dtinactive,hamendmentinactive,dtmovein,dtmoveout,snotes,dsqft,hmasterunit,bactive,hcondocontract,ipersontype,hcommmoveoutreason,hforeigndb,sextreference,hcopyfrom,ispastprimaryowner,hcommmlaoverride,trowversion,dtclose,dtaxestimate
32897,32933,26980,t0000989,4115,3md00004,23360,7128,43922,45135,,,,,47197,43922,45135,,15970,0,0,,,,,,,,0,AAAAAACl5Gw=,,
32900,32936,26981,t0000990,4115,3md00004,23361,7130,43922,45107,,,,,45402,43922,45107,,4234,0,0,,,,,,,,0,AAAAAADDVsU=,,
44818,45402,26981,t0000990,4115,3md00004,23361,7130,45108,46081,,,,,,45108,,,4234,0,0,,,,,,,,0,AAAAAADDVu4=,,
32913,32946,27032,t0000991,1882,xnj128ba,3862,04,44927,46783,,,,,,44927,,,10699,0,0,,,,,,,,0,AAAAAABuL/I=,,
32914,32947,27034,t0000992,4115,3md00004,23483,7132,42736,44985,,,,,34290,42736,44985,,4161,0,0,,,,,,,,0,AAAAAADdrGA=,,
34244,34290,27034,t0000992,4115,3md00004,23483,7132,44986,46081,,,,,,44986,,,4145,0,0,,,,,,,,0,AAAAAADDVnk=,,
32916,32949,27056,t0000993,3737,3oh00001,14789,2066,44958,46783,,,,,,44958,,,8000,0,0,,,,,,,,0,AAAAAAB2eNU=,,
34185,34232,27057,t0000994,1686,xtx1121,8243,A,44967,46843,,,,,,44967,,,50545,0,0,,,,,,,,0,AAAAAADT4sQ=,,
34122,34171,28004,t0000996,3545,xil231ja,9152,241,44901,45092,,,,,39370,44901,45092,,2902,0,0,,,,,,,,0,AAAAAAChfts=,,
34144,34192,28024,t0000997,913,gacre100,459,680,45017,46996,,,,,,45017,,,3638,0,0,,,,,,,,0,AAAAAACeeOk=,,
44813,34194,28025,t0000998,913,gacre100,438,395,44972,45351,,,,,68572,44972,45351,,1082,0,0,,,4,,,,,0,AAAAAADcqo0=,,
34163,34213,28046,t0000999,3364,xtn3961o,7784,3961,44958,46081,,,,,,44958,,,74906,0,0,,,,,,,,0,AAAAAADPX7s=,,
34165,34214,28047,t0001000,1895,xtx3662m,4158,3670,45017,46904,,,,,,45017,,,26126,0,0,,,,,,,,0,AAAAAADUSJw=,,
34173,34223,28074,t0001001,4125,3il00005,16834,100,44986,47634,,,,,,44986,,,45236,0,0,,,,,,,,0,AAAAAADiYAk=,,
34177,34226,28100,t0001002,4722,3nj00006,24467,3140,35474,46053,,,,,120163,35474,46053,,151000,0,0,,,,,,,,0,AAAAAAHv850=,,
119762,120163,28100,t0001002,4722,3nj00006,24467,3140,46054,49705,,,,,,46054,,,151176,0,0,,,,,,,,0,AAAAAAHv858=,,
34266,34315,28220,t0001003,1390,xtxball,509,9615,45017,46904,,,,,,45017,,,29772,0,0,,,,,,,,0,AAAAAADX+LU=,,
34191,34241,28244,t0001004,4727,3nc00001,24469,10000,44573,46477,,,,,,44573,,,56847,0,0,,,,,,,,0,AAAAAADI8kQ=,,
46673,34272,28336,t0001005,913,gacre100,430,1200,45082,47000,,,,,,45017,,,7943,0,0,,,,,,,,0,AAAAAACmfMA=,,
34233,34273,28338,t0001006,1658,xtn225bo,2968,103,44986,45638,,,,,116365,44986,45638,,33340,0,0,,,,,,,,0,AAAAAAHCoq0=,,
34232,34285,28347,t0001007,1881,xnj30les,24482,40,44986,46081,,,,,,44986,,,9247,0,0,,,,,,,,0,AAAAAAB5zrA=,,
34243,34289,28357,t0001008,3632,xga2900j,12621,A,44998,45361,,,,,70109,44998,45361,,58225,0,0,,,,,,,,0,AAAAAADjeP8=,,
34247,34292,28433,t0001010,4800,3fl00006,24486,C,45008,46599,,,,,,44774,,,7200,0,0,,,,,,,,0,AAAAAADetjs=,,
34248,34292,28433,t0001010,4800,3fl00006,24487,D,45008,46599,,,,,,44774,,,10080,0,0,,,,,,,,0,AAAAAADetjw=,,
